No,No Lesen,Nama Syarikat,Nama Aktiviti,Tarikh Aktiviti Mula,Tarikh Aktiviti Tamat
1,L202400864,Oriental Global Event Management,Zi Long Walk,15/09/2024,15/09/2024
2,L201900188,AUDIO AID,ZERO DECIBEL - A PHILANTHROPIC RUN,17/11/2019,17/11/2019
3,L202400743,Endurance Nature Sdn Bhd,Zentril Sports Titi Ultra,26/04/2024,28/04/2024
4,L202300101,ZEALFIT MALAYSIA SDN BHD,ZEALFIT WEIGHLIFTING OPEN 2023,14/10/2023,15/10/2023
5,L202300654,EC Pixels,YoloRun KL 2023,26/02/2023,26/02/2023
6,L201900179,EC Pixels,Yolo Run 2019,27/10/2019,27/10/2019
7,L202400913,Mountains Please Enterprise,YB3B Challenge,19/10/2024,20/10/2024
8,L201900197,JomRun Sdn Bhd,Yayasan TM International Tower Run 2019,10/11/2019,10/11/2019
9,L202501227,Score Sports Management Sdn Bhd,Yamaha Gen Blu Carnival Run 2025,13/12/2025,13/12/2025
10,L202400857,XMULTISPORT EVENT,XMULTISPORT DUATHLON KK CITY 2024,07/09/2024,08/09/2024
11,L202200619,TLM EVENT SDN BHD,Xmas Run (OBS),18/12/2022,18/12/2022
12,L201900154,JomRun Sdn Bhd,Xing Fu Tang Bubble Tea Fun Run,19/10/2019,19/10/2019
13,L202501213,X MULTISPORT EVENT,X MULTISPORT DUATHLON KK CITY 2025,16/11/2025,16/11/2025
14,L202200530,EVENTFINDERS,X LABUAN MULTISPORT CHALLENGE 2022,17/09/2022,18/09/2022
15,L202501120,GAIA CREATIONS SDN BHD,WPC: Asia Pickleball Grand Slam Malaysia 2025,16/07/2025,20/07/2025
16,L202501188,GAIA CREATIONS SDN BHD,WPC Malaysia Series 2025/26: Leg 1,10/10/2025,12/10/2025
17,L202400806,MOONMAN EVENTS SDN BHD,World Wide Roar Lion Dance Showdown 2024,09/08/2024,11/08/2024
18,L202400895,TLM EVENT SDN BHD,World Heart Day,29/09/2024,29/09/2024
19,L202501012,ELORA GLOBAL SDN BHD,WORLD CORPORATE GOLF CHALLENGE MALAYSIA,22/05/2025,25/09/2025
